Block,Variable code,Indicator,Unit,Dataset code,Prefix,Table,Breakdown,Investor,Type of construction,Direction of flow,"Import/
Export",Cohesion region,Transaction,Employment type,Cons/Ncons,Sector,Stock flow,Asset liability,Financial instrument,Age group,Sex,Consumer product,Measure,Unit2,Item,Investment,Seasonal adjustment,Indices,Activity,Statistical region,Exchange rate,NA_item,Flow,Indicators,Product,Reporter,Time frequency
8,#N/A,Financial accounts - Fixed assets - Slovenian Economy  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.1--0--0--Q,BS,F2_Q1E,,,,,,,,,,S.1,0,0,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts - Fixed assets - Non-financial corporations  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.11--0--0--Q,BS,F2_Q1E,,,,,,,,,,S.11,0,0,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts - Fixed assets - Stock - Monetary financial institutions  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.121+S.122+S.123--0--0--Q,BS,F2_Q1E,,,,,,,,,,S.121+S.122+S.123,0,0,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts - Fixed assets - Other financial intermediaries+Financial auxiliaries,"stock, million euro",BS--F2_Q1E--S.124+S.125+S.126+S.127--0--0--Q,BS,F2_Q1E,,,,,,,,,,S.124+S.125+S.126+S.127,0,0,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts - Fixed assets - General government  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.13--0--0--Q,BS,F2_Q1E,,,,,,,,,,S.13,0,0,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts - Fixed assets - Households+Non-profit institutions  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.14+S.15--0--0--Q,BS,F2_Q1E,,,,,,,,,,S.14+S.15,0,0,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts - Fixed assets -Insurance corporations+Pension funds  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.128+S.129--0--0--Q,BS,F2_Q1E,,,,,,,,,,S.128+S.129,0,0,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts - Fixed assets - Rest of the world  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.2--0--0--Q,BS,F2_Q1E,,,,,,,,,,S.2,0,0,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts - Net - Slovenian Economy  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.1--0--1--Q,BS,F2_Q1E,,,,,,,,,,S.1,0,1,,,,,,,,,,,,,,,,,,,Q
8,#N/A,Financial accounts -Net -  Non-financial corporations  (all financial instruments),"stock, million euro",BS--F2_Q1E--S.11--0--1--Q,BS,F2_Q1E,,,,,,,,,,S.11,0,1,,,,,,,,,,,,,,,,,,,Q
