Variable code,Indicator,Link,Query code,Time frequency,Dataset code
XV_PHARM,"Exports since 1988 of Pharmaceutical products, current price, million EUR",Statistics | Eurostat,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1/data/ds-045409/M.SI.WORLD.30.2.VALUE_IN_EUROS?format=SDMX-CSV&startPeriod=2000-01,M,EUROSTAT-UMAR--CE002--PHAR--M
XV_VEH,"Exports since 1988 of  vehicles other than railway, current price, million EUR",Statistics | Eurostat,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1/data/ds-045409/M.SI.WORLD.87.2.VALUE_IN_EUROS?format=SDMX-CSV&startPeriod=2000-01,M,EUROSTAT-UMAR--CE002--VEH--M
XV_MIN,"Exports since 1988 of mineral fuels and related, current price, million EUR",Statistics | Eurostat,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1/data/ds-045409/M.SI.WORLD.27.2.VALUE_IN_EUROS?format=SDMX-CSV&startPeriod=2000-01,M,EUROSTAT-UMAR--CE002--MIN--M
XV_ELEC,"Electrical machinery, machinery and mechnical appliances etc.",Statistics | Eurostat,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1/data/ds-045409/M.SI.WORLD.85.2.VALUE_IN_EUROS?format=SDMX-CSV&startPeriod=2000-01,M,EUROSTAT-UMAR--CE002--MACH--M
XV_NUCL,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF",,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/3.0/data/dataflow/ESTAT/ds-045409/1.0/*.*.*.*.*.*?c[freq]=M&c[reporter]=SI&c[partner]=WORLD&c[product]=84&c[flow]=2&c[indicators]=VALUE_IN_EUROS&compress=false&format=csvdata&formatVersion=1.0&lang=en&labels=label_only,M,EUROSTAT-UMAR--CE002--NUCL--M
GDP_EU27,"Gross domestic product at market prices, Chain linked volumes (2010), million euro, Seasonally and calendar adjusted data, EU27",Statistics | Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/data/dataflow/ESTAT/namq_10_gdp/1.0/*.*.*.*.*?c[freq]=Q&c[unit]=CLV10_MEUR&c[s_adj]=SCA&c[na_item]=B1GQ&c[geo]=EU27_2020&compress=false&format=csvdata&formatVersion=1.0&lang=en&labels=label_only,Q,EUROSTAT-UMAR--CE003--EU27--N--Q
WGDP_CZ,Gross domestic product at market prices weighted by main export markets - CZ,Statistics | Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/namq_10_gdp/Q.CLV10_MEUR.SCA.B1GQ.CZ?format=SDMX-CSV&lang=en&label=label_only&startPeriod=1975-Q1,Q,EUROSTAT-UMAR--CE003--CZ--Y--Q
WGDP_DE,Gross domestic product at market prices weighted by main export markets - DE,Statistics | Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/namq_10_gdp/Q.CLV10_MEUR.SCA.B1GQ.DE?format=SDMX-CSV&lang=en&label=label_only&startPeriod=1975-Q1,Q,EUROSTAT-UMAR--CE003--DE--Y--Q
WGDP_FR,Gross domestic product at market prices weighted by main export markets - FR,Statistics | Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/namq_10_gdp/Q.CLV10_MEUR.SCA.B1GQ.FR?format=SDMX-CSV&lang=en&label=label_only&startPeriod=1975-Q1,Q,EUROSTAT-UMAR--CE003--FR--Y--Q
WGDP_HR,Gross domestic product at market prices weighted by main export markets - HR,Statistics | Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/namq_10_gdp/Q.CLV10_MEUR.SCA.B1GQ.HR?format=SDMX-CSV&lang=en&label=label_only&startPeriod=1975-Q1,Q,EUROSTAT-UMAR--CE003--HR--Y--Q
