Block,Variable code,Indicator,Unit,Dataset code,Prefix,Table,Breakdown,Investor,Type of construction,Direction of flow,"Import/
Export",Cohesion region,Transaction,Employment type,Cons/Ncons,Sector,Stock flow,Asset liability,Financial instrument,Age group,Sex,Consumer product,Measure,Unit2,Item,Investment,Seasonal adjustment,Indices,Activity,Statistical region,Exchange rate,NA_item,Flow,Indicators,Product,Reporter,Time frequency
1,CV_HHNDI,Household + NPISH disposable income,"current prices, million euro",SURS--0325220S--B6G--S.1M--Q,SURS,0325220S,,,,,,,B6G,,,S.1M,,,,,,,,,,,,,,,,,,,,,Q
1,CV_DI,National Economy disposable income ,"current prices, million euro",SURS--0325220S--B6G--S.1--Q,SURS,0325220S,,,,,,,B6G,,,S.1,,,,,,,,,,,,,,,,,,,,,Q
1,CV_HHNDI_A,Household + NPISH disposable income,"current prices, million euro",SURS--0325202S--B--B6G_W0_XDC__Z_V--S1M_W0--A,SURS,0325202S,,,,B,,,B6G_W0_XDC__Z_V,,,S1M_W0,,,,,,,,,,,,,,,,,,,,,A
1,CV_HHDI_A,Household disposable income,"current prices, million euro",SURS--0325202S--B--B6G_W0_XDC__Z_V--S14_W0--A,SURS,0325202S,,,,B,,,B6G_W0_XDC__Z_V,,,S14_W0,,,,,,,,,,,,,,,,,,,,,A
1,CV_NPISHDI_A,NPISH disposable income,"current prices, million euro",SURS--0325202S--B--B6G_W0_XDC__Z_V--S15_W0--A,SURS,0325202S,,,,B,,,B6G_W0_XDC__Z_V,,,S15_W0,,,,,,,,,,,,,,,,,,,,,A
2,CV_TOTAL,Household consumption (national concept),"current prices, million euro",SURS--0300230S--P31_S14_D--V--Y--Q,SURS,0300230S,,,,,,,P31_S14_D,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
2,,Household consumption (domestic concept),"current prices, million euro",SURS--0300230S--P31_S14_N--V--Y--Q,SURS,0300230S,,,,,,,P31_S14_N,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
2,CV_DURABLE,Household consumption: Durable goods,"current prices, million euro",SURS--0300230S--P311_S14--V--Y--Q,SURS,0300230S,,,,,,,P311_S14,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
2,CV_SEMID,Household consumption: Semi-durable goods,"current prices, million euro",SURS--0300230S--P312_S14--V--Y--Q,SURS,0300230S,,,,,,,P312_S14,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
2,CV_NOND,Household consumption: Non-durable goods,"current prices, million euro",SURS--0300230S--P313_S14--V--Y--Q,SURS,0300230S,,,,,,,P313_S14,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
2,CV_SERV,Household consumption: Services,"current prices, million euro",SURS--0300230S--P314_S14--V--Y--Q,SURS,0300230S,,,,,,,P314_S14,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
2,CV_NPISH,NPISH consumption,"current prices, million euro",SURS--0300230S--P31_S15--V--Y--Q,SURS,0300230S,,,,,,,P31_S15,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
2,C_TOTAL,Household consumption (national concept),"contant prices, 2010 euro",SURS--0300230S--P31_S14_D--L--Y--Q,SURS,0300230S,,,,,,,P31_S14_D,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
2,,Household consumption (domestic concept),"contant prices, 2010 euro",SURS--0300230S--P31_S14_N--L--Y--Q,SURS,0300230S,,,,,,,P31_S14_N,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
2,C_DURABLE,Household consumption: Durable goods,"contant prices, 2010 euro",SURS--0300230S--P311_S14--L--Y--Q,SURS,0300230S,,,,,,,P311_S14,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
2,C_SEMID,Household consumption: Semi-durable goods,"contant prices, 2010 euro",SURS--0300230S--P312_S14--L--Y--Q,SURS,0300230S,,,,,,,P312_S14,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
2,C_NOND,Household consumption: Non-durable goods,"contant prices, 2010 euro",SURS--0300230S--P313_S14--L--Y--Q,SURS,0300230S,,,,,,,P313_S14,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
2,C_SERV,Household consumption: Services,"contant prices, 2010 euro",SURS--0300230S--P314_S14--L--Y--Q,SURS,0300230S,,,,,,,P314_S14,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
2,C_NPISH,NPISH consumption,"contant prices, 2010 euro",SURS--0300230S--P31_S15--L--Y--Q,SURS,0300230S,,,,,,,P31_S15,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
3,YVAV_A,"Value added: Agriculture, forestry and fishing","current prices, million euro",SURS--0300220S--A--V--Y--Q,SURS,0300220S,,,,,,,A,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_BTE,"Value added: Mining and quarrying, manufacturing, electricity and water supply, waste management","current prices, million euro",SURS--0300220S--BTE--V--Y--Q,SURS,0300220S,,,,,,,BTE,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_C,Value added: Manufacturing,"current prices, million euro",SURS--0300220S--C--V--Y--Q,SURS,0300220S,,,,,,,C,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_F,Value added: Construction,"current prices, million euro",SURS--0300220S--F--V--Y--Q,SURS,0300220S,,,,,,,F,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_GTI,"Value added: Trade, transportation and storage, accommodation and food service activities","current prices, million euro",SURS--0300220S--GTI--V--Y--Q,SURS,0300220S,,,,,,,GTI,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_J,Value added: Information and communication,"current prices, million euro",SURS--0300220S--J--V--Y--Q,SURS,0300220S,,,,,,,J,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_K,Value added: Financial and insurance activities,"current prices, million euro",SURS--0300220S--K--V--Y--Q,SURS,0300220S,,,,,,,K,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_L,Value added: Real estate activities,"current prices, million euro",SURS--0300220S--L--V--Y--Q,SURS,0300220S,,,,,,,L,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_M_N,"Value added: Professional, scientific, technical, administrative and support services","current prices, million euro",SURS--0300220S--M_N--V--Y--Q,SURS,0300220S,,,,,,,M_N,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_OTQ,"Value added: Public administration, education, human health and social work","current prices, million euro",SURS--0300220S--OTQ--V--Y--Q,SURS,0300220S,,,,,,,OTQ,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_RTU,Value added: Other service activities,"current prices, million euro",SURS--0300220S--RTU--V--Y--Q,SURS,0300220S,,,,,,,RTU,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YVAV_TOTAL,Value added: Total,"current prices, million euro",SURS--0300220S--_T--V--Y--Q,SURS,0300220S,,,,,,,_T,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YV_TLS,Net taxes on products,"current prices, million euro",SURS--0300220S--D21X31--V--Y--Q,SURS,0300220S,,,,,,,D21X31,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
3,YV_GDP,Gross domestic product,"current prices, million euro",SURS--0300220S--B1GQ--V--Y--Q,SURS,0300220S,,,,,,,B1GQ,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
